Orthogroup	MG590281.1	LN589993.1
OG0000000	ATZ69149.1|ND1|NADH	CEF52441.1|nad1|NADH
OG0000001	ATZ69148.1|ND2|NADH	CEF52442.1|nad2|NADH
OG0000002	ATZ69145.1|COX1|cytochrome	CEF52443.1|cox1|cytochrome
OG0000003	ATZ69151.1|COX2|cytochrome	CEF52444.1|cox2|C-terminal
OG0000004	ATZ69156.1|ATP8|ATP	CEF52445.1|atp8|ATP
OG0000005	ATZ69152.1|ATP6|ATP	CEF52446.1|atp6|ATP
OG0000006	ATZ69150.1|COX3|cytochrome	CEF52447.1|cox3|cytochrome
OG0000007	ATZ69154.1|ND3|NADH	CEF52448.1|nad3|NADH
OG0000008	ATZ69155.1|ND4L|NADH	CEF52449.1|nad4L|NADH
OG0000009	ATZ69146.1|ND4|NADH	CEF52450.1|nad4|NADH
OG0000010	ATZ69144.1|ND5|NADH	CEF52451.1|nad5|NADH
OG0000011	ATZ69147.1|CYTB|cytochrome	CEF52452.1|cob|cytochrome
OG0000012	ATZ69153.1|ND6|NADH	CEF52453.1|nad6|NADH
