HOG	OG	Gene Tree Parent Clade	LN589993.1	LN589994.2	MG590267.1	MG590268.1	MG590269.1	MG590270.1	MG590271.1	MG590272.1	MG590273.1	MG590274.1	MG590275.1	MG590277.1	MG590278.1	MG590279.1	MG590280.1	MG590281.1	MG590282.1	MG590283.1	MG590284.1	MG590285.1	MG590286.1	MG590287.1	MG590288.1	MG590289.1	MG590290.1	MG590291.1	MG590292.1	MG590293.1	MG590294.1	MG590295.1	MG590296.1	MG590297.1	MG590298.1	MG590299.1	MG590300.1	MG590301.1	MG590302.1	NC_027947.1	NC_031865.1	NC_036613.1
N30.HOG0000000	OG0000000	n0	CEF52441.1|nad1|NADH																							ATZ69253.1|ND1|NADH		ATZ69279.1|ND1|NADH			ATZ69318.1|ND1|NADH	ATZ69331.1|ND1|NADH	ATZ69344.1|ND1|NADH		ATZ69370.1|ND1|NADH			ATZ69409.1|ND1|NADH	ATZ69422.1|ND1|NADH			YP_009449512.1|ND1|NADH
N30.HOG0000001	OG0000001	n0	CEF52442.1|nad2|NADH																							ATZ69252.1|ND2|NADH		ATZ69278.1|ND2|NADH			ATZ69317.1|ND2|NADH	ATZ69330.1|ND2|NADH	ATZ69343.1|ND2|NADH		ATZ69369.1|ND2|NADH			ATZ69408.1|ND2|NADH	ATZ69421.1|ND2|NADH			YP_009449513.1|ND2|NADH
N30.HOG0000002	OG0000002	n0	CEF52443.1|cox1|cytochrome																							ATZ69249.1|COX1|cytochrome		ATZ69275.1|COX1|cytochrome			ATZ69314.1|COX1|cytochrome	ATZ69327.1|COX1|cytochrome	ATZ69340.1|COX1|cytochrome		ATZ69366.1|COX1|cytochrome			ATZ69405.1|COX1|cytochrome	ATZ69418.1|COX1|cytochrome			YP_009449514.1|COX1|cytochrome
N30.HOG0000003	OG0000003	n0	CEF52444.1|cox2|C-terminal																							ATZ69255.1|COX2|cytochrome		ATZ69281.1|COX2|cytochrome			ATZ69320.1|COX2|cytochrome	ATZ69333.1|COX2|cytochrome	ATZ69346.1|COX2|cytochrome		ATZ69372.1|COX2|cytochrome			ATZ69411.1|COX2|cytochrome	ATZ69424.1|COX2|cytochrome			YP_009449515.1|COX2|cytochrome
N30.HOG0000004	OG0000004	n0	CEF52445.1|atp8|ATP																							ATZ69260.1|ATP8|ATP		ATZ69286.1|ATP8|ATP			ATZ69325.1|ATP8|ATP	ATZ69338.1|ATP8|ATP	ATZ69351.1|ATP8|ATP		ATZ69377.1|ATP8|ATP			ATZ69416.1|ATP8|ATP	ATZ69429.1|ATP8|ATP			YP_009449516.1|ATP8|ATP
N30.HOG0000005	OG0000005	n0	CEF52446.1|atp6|ATP																							ATZ69256.1|ATP6|ATP		ATZ69282.1|ATP6|ATP			ATZ69321.1|ATP6|ATP	ATZ69334.1|ATP6|ATP	ATZ69347.1|ATP6|ATP		ATZ69373.1|ATP6|ATP			ATZ69412.1|ATP6|ATP	ATZ69425.1|ATP6|ATP			YP_009449517.1|ATP6|ATP
N30.HOG0000006	OG0000006	n0	CEF52447.1|cox3|cytochrome																							ATZ69254.1|COX3|cytochrome		ATZ69280.1|COX3|cytochrome			ATZ69319.1|COX3|cytochrome	ATZ69332.1|COX3|cytochrome	ATZ69345.1|COX3|cytochrome		ATZ69371.1|COX3|cytochrome			ATZ69410.1|COX3|cytochrome	ATZ69423.1|COX3|cytochrome			YP_009449518.1|COX3|cytochrome
N30.HOG0000007	OG0000007	n0	CEF52448.1|nad3|NADH																							ATZ69258.1|ND3|NADH		ATZ69284.1|ND3|NADH			ATZ69323.1|ND3|NADH	ATZ69336.1|ND3|NADH	ATZ69349.1|ND3|NADH		ATZ69375.1|ND3|NADH			ATZ69414.1|ND3|NADH	ATZ69427.1|ND3|NADH			YP_009449519.1|ND3|NADH
N30.HOG0000008	OG0000008	n0	CEF52449.1|nad4L|NADH																							ATZ69259.1|ND4L|NADH		ATZ69285.1|ND4L|NADH			ATZ69324.1|ND4L|NADH	ATZ69337.1|ND4L|NADH	ATZ69350.1|ND4L|NADH		ATZ69376.1|ND4L|NADH			ATZ69415.1|ND4L|NADH	ATZ69428.1|ND4L|NADH			YP_009449520.1|ND4L|NADH
N30.HOG0000009	OG0000009	n0	CEF52450.1|nad4|NADH																							ATZ69250.1|ND4|NADH		ATZ69276.1|ND4|NADH			ATZ69315.1|ND4|NADH	ATZ69328.1|ND4|NADH	ATZ69341.1|ND4|NADH		ATZ69367.1|ND4|NADH			ATZ69406.1|ND4|NADH	ATZ69419.1|ND4|NADH			YP_009449521.1|ND4|NADH
N30.HOG0000010	OG0000010	n0	CEF52451.1|nad5|NADH																							ATZ69248.1|ND5|NADH		ATZ69274.1|ND5|NADH			ATZ69313.1|ND5|NADH	ATZ69326.1|ND5|NADH	ATZ69339.1|ND5|NADH		ATZ69365.1|ND5|NADH			ATZ69404.1|ND5|NADH	ATZ69417.1|ND5|NADH			YP_009449522.1|ND5|NADH
N30.HOG0000011	OG0000011	n0	CEF52452.1|cob|cytochrome																							ATZ69251.1|CYTB|cytochrome		ATZ69277.1|CYTB|cytochrome			ATZ69316.1|CYTB|cytochrome	ATZ69329.1|CYTB|cytochrome	ATZ69342.1|CYTB|cytochrome		ATZ69368.1|CYTB|cytochrome			ATZ69407.1|CYTB|cytochrome	ATZ69420.1|CYTB|cytochrome			YP_009449523.1|CYTB|cytochrome
N30.HOG0000012	OG0000012	n0	CEF52453.1|nad6|NADH																							ATZ69257.1|ND6|NADH		ATZ69283.1|ND6|NADH			ATZ69322.1|ND6|NADH	ATZ69335.1|ND6|NADH	ATZ69348.1|ND6|NADH		ATZ69374.1|ND6|NADH			ATZ69413.1|ND6|NADH	ATZ69426.1|ND6|NADH			YP_009449524.1|ND6|NADH
