HOG	OG	Gene Tree Parent Clade	LN589993.1	LN589994.2	MG590267.1	MG590268.1	MG590269.1	MG590270.1	MG590271.1	MG590272.1	MG590273.1	MG590274.1	MG590275.1	MG590277.1	MG590278.1	MG590279.1	MG590280.1	MG590281.1	MG590282.1	MG590283.1	MG590284.1	MG590285.1	MG590286.1	MG590287.1	MG590288.1	MG590289.1	MG590290.1	MG590291.1	MG590292.1	MG590293.1	MG590294.1	MG590295.1	MG590296.1	MG590297.1	MG590298.1	MG590299.1	MG590300.1	MG590301.1	MG590302.1	NC_027947.1	NC_031865.1	NC_036613.1
N19.HOG0000000	OG0000000	n0																ATZ69149.1|ND1|NADH	ATZ69162.1|ND1|NADH	ATZ69175.1|ND1|NADH																				YP_009166353.1|ND1|NADH		
N19.HOG0000001	OG0000001	n0																ATZ69148.1|ND2|NADH	ATZ69161.1|ND2|NADH	ATZ69174.1|ND2|NADH																				YP_009166354.1|ND2|NADH		
N19.HOG0000002	OG0000002	n0																ATZ69145.1|COX1|cytochrome	ATZ69158.1|COX1|cytochrome	ATZ69171.1|COX1|cytochrome																				YP_009166355.1|COX1|cytochrome		
N19.HOG0000003	OG0000003	n0																ATZ69151.1|COX2|cytochrome	ATZ69164.1|COX2|cytochrome	ATZ69177.1|COX2|cytochrome																				YP_009166356.1|COX2|cytochrome		
N19.HOG0000004	OG0000004	n0																ATZ69156.1|ATP8|ATP	ATZ69169.1|ATP8|ATP	ATZ69182.1|ATP8|ATP																				YP_009166357.1|ATP8|ATP		
N19.HOG0000005	OG0000005	n0																ATZ69152.1|ATP6|ATP	ATZ69165.1|ATP6|ATP	ATZ69178.1|ATP6|ATP																				YP_009166358.1|ATP6|ATP		
N19.HOG0000006	OG0000006	n0																ATZ69150.1|COX3|cytochrome	ATZ69163.1|COX3|cytochrome	ATZ69176.1|COX3|cytochrome																				YP_009166359.2|COX3|cytochrome		
N19.HOG0000007	OG0000007	n0																ATZ69154.1|ND3|NADH	ATZ69167.1|ND3|NADH	ATZ69180.1|ND3|NADH																				YP_009166360.1|ND3|NADH		
N19.HOG0000008	OG0000008	n0																ATZ69155.1|ND4L|NADH	ATZ69168.1|ND4L|NADH	ATZ69181.1|ND4L|NADH																				YP_009166361.2|ND4L|NADH		
N19.HOG0000009	OG0000009	n0																ATZ69146.1|ND4|NADH	ATZ69159.1|ND4|NADH	ATZ69172.1|ND4|NADH																				YP_009166362.2|ND4|NADH		
N19.HOG0000010	OG0000010	n0																ATZ69144.1|ND5|NADH	ATZ69157.1|ND5|NADH	ATZ69170.1|ND5|NADH																				YP_009166363.1|ND5|NADH		
N19.HOG0000011	OG0000011	n0																ATZ69147.1|CYTB|cytochrome	ATZ69160.1|CYTB|cytochrome	ATZ69173.1|CYTB|cytochrome																				YP_009166364.1|CYTB|cytochrome		
N19.HOG0000012	OG0000012	n0																ATZ69153.1|ND6|NADH	ATZ69166.1|ND6|NADH	ATZ69179.1|ND6|NADH																				YP_009166365.1|ND6|NADH		
