HOG	OG	Gene Tree Parent Clade	LN589993.1	LN589994.2	MG590267.1	MG590268.1	MG590269.1	MG590270.1	MG590271.1	MG590272.1	MG590273.1	MG590274.1	MG590275.1	MG590277.1	MG590278.1	MG590279.1	MG590280.1	MG590281.1	MG590282.1	MG590283.1	MG590284.1	MG590285.1	MG590286.1	MG590287.1	MG590288.1	MG590289.1	MG590290.1	MG590291.1	MG590292.1	MG590293.1	MG590294.1	MG590295.1	MG590296.1	MG590297.1	MG590298.1	MG590299.1	MG590300.1	MG590301.1	MG590302.1	NC_027947.1	NC_031865.1	NC_036613.1
N24.HOG0000000	OG0000000	n0													ATZ69110.1|ND1|NADH									ATZ69227.1|ND1|NADH	ATZ69240.1|ND1|NADH																	
N24.HOG0000001	OG0000001	n0													ATZ69109.1|ND2|NADH									ATZ69226.1|ND2|NADH	ATZ69239.1|ND2|NADH																	
N24.HOG0000002	OG0000002	n0													ATZ69106.1|COX1|cytochrome									ATZ69223.1|COX1|cytochrome	ATZ69236.1|COX1|cytochrome																	
N24.HOG0000003	OG0000003	n0													ATZ69112.1|COX2|cytochrome									ATZ69229.1|COX2|cytochrome	ATZ69242.1|COX2|cytochrome																	
N24.HOG0000004	OG0000004	n0													ATZ69117.1|ATP8|ATP									ATZ69234.1|ATP8|ATP	ATZ69247.1|ATP8|ATP																	
N24.HOG0000005	OG0000005	n0													ATZ69113.1|ATP6|ATP									ATZ69230.1|ATP6|ATP	ATZ69243.1|ATP6|ATP																	
N24.HOG0000006	OG0000006	n0													ATZ69111.1|COX3|cytochrome									ATZ69228.1|COX3|cytochrome	ATZ69241.1|COX3|cytochrome																	
N24.HOG0000007	OG0000007	n0													ATZ69115.1|ND3|NADH									ATZ69232.1|ND3|NADH	ATZ69245.1|ND3|NADH																	
N24.HOG0000008	OG0000008	n0													ATZ69116.1|ND4L|NADH									ATZ69233.1|ND4L|NADH	ATZ69246.1|ND4L|NADH																	
N24.HOG0000009	OG0000009	n0													ATZ69107.1|ND4|NADH									ATZ69224.1|ND4|NADH	ATZ69237.1|ND4|NADH																	
N24.HOG0000010	OG0000010	n0													ATZ69105.1|ND5|NADH									ATZ69222.1|ND5|NADH	ATZ69235.1|ND5|NADH																	
N24.HOG0000011	OG0000011	n0													ATZ69108.1|CYTB|cytochrome									ATZ69225.1|CYTB|cytochrome	ATZ69238.1|CYTB|cytochrome																	
N24.HOG0000012	OG0000012	n0													ATZ69114.1|ND6|NADH									ATZ69231.1|ND6|NADH	ATZ69244.1|ND6|NADH																	
