HOG	OG	Gene Tree Parent Clade	LN589993.1	LN589994.2	MG590267.1	MG590268.1	MG590269.1	MG590270.1	MG590271.1	MG590272.1	MG590273.1	MG590274.1	MG590275.1	MG590277.1	MG590278.1	MG590279.1	MG590280.1	MG590281.1	MG590282.1	MG590283.1	MG590284.1	MG590285.1	MG590286.1	MG590287.1	MG590288.1	MG590289.1	MG590290.1	MG590291.1	MG590292.1	MG590293.1	MG590294.1	MG590295.1	MG590296.1	MG590297.1	MG590298.1	MG590299.1	MG590300.1	MG590301.1	MG590302.1	NC_027947.1	NC_031865.1	NC_036613.1
N1.HOG0000000	OG0000000	n0		CEF52454.1|nad1|NADH		ATZ68980.1|ND1|NADH																																				
N1.HOG0000001	OG0000001	n0		CEF52455.1|nad2|NADH		ATZ68979.1|ND2|NADH																																				
N1.HOG0000002	OG0000002	n0		CEF52456.1|cox1|cytochrome		ATZ68976.1|COX1|cytochrome																																				
N1.HOG0000003	OG0000003	n0		CEF52457.1|cox2|C-terminal		ATZ68982.1|COX2|cytochrome																																				
N1.HOG0000004	OG0000004	n0		CEF52458.1|atp8|ATP		ATZ68987.1|ATP8|ATP																																				
N1.HOG0000005	OG0000005	n0		CEF52459.1|atp6|ATP		ATZ68983.1|ATP6|ATP																																				
N1.HOG0000006	OG0000006	n0		CEF52460.1|cox3|cytochrome		ATZ68981.1|COX3|cytochrome																																				
N1.HOG0000007	OG0000007	n0		CEF52461.1|nad3|NADH		ATZ68985.1|ND3|NADH																																				
N1.HOG0000008	OG0000008	n0		CEF52462.1|nad4L|NADH		ATZ68986.1|ND4L|NADH																																				
N1.HOG0000009	OG0000009	n0		CEF52463.1|nad4|NADH		ATZ68977.1|ND4|NADH																																				
N1.HOG0000010	OG0000010	n0		CEF52464.1|nad5|NADH		ATZ68975.1|ND5|NADH																																				
N1.HOG0000011	OG0000011	n0		CEF52465.1|cob|cytochrome		ATZ68978.1|CYTB|cytochrome																																				
N1.HOG0000012	OG0000012	n0		CEF52466.1|nad6|NADH		ATZ68984.1|ND6|NADH																																				
