Orthogroup	KX902238.1	NC_036613.1
OG0000000	APA16932.1|ND1|NADH	YP_009449512.1|ND1|NADH
OG0000001	APA16931.1|ND2|NADH	YP_009449513.1|ND2|NADH
OG0000002	APA16928.1|COX1|cytochrome	YP_009449514.1|COX1|cytochrome
OG0000003	APA16934.1|COX2|cytochrome	YP_009449515.1|COX2|cytochrome
OG0000004	APA16939.1|ATP8|ATP	YP_009449516.1|ATP8|ATP
OG0000005	APA16935.1|ATP6|ATP	YP_009449517.1|ATP6|ATP
OG0000006	APA16933.1|COX3|cytochrome	YP_009449518.1|COX3|cytochrome
OG0000007	APA16937.1|ND3|NADH	YP_009449519.1|ND3|NADH
OG0000008	APA16938.1|ND4L|NADH	YP_009449520.1|ND4L|NADH
OG0000009	APA16929.1|ND4|NADH	YP_009449521.1|ND4|NADH
OG0000010	APA16927.1|ND5|NADH	YP_009449522.1|ND5|NADH
OG0000011	APA16930.1|CYTB|cytochrome	YP_009449523.1|CYTB|cytochrome
OG0000012	APA16936.1|ND6|NADH	YP_009449524.1|ND6|NADH
