Orthogroup	MG590282.1	MG590269.1
OG0000000	ATZ69162.1|ND1|NADH	ATZ68993.1|ND1|NADH
OG0000001	ATZ69161.1|ND2|NADH	ATZ68992.1|ND2|NADH
OG0000002	ATZ69158.1|COX1|cytochrome	ATZ68989.1|COX1|cytochrome
OG0000003	ATZ69164.1|COX2|cytochrome	ATZ68995.1|COX2|cytochrome
OG0000004	ATZ69169.1|ATP8|ATP	ATZ69000.1|ATP8|ATP
OG0000005	ATZ69165.1|ATP6|ATP	ATZ68996.1|ATP6|ATP
OG0000006	ATZ69163.1|COX3|cytochrome	ATZ68994.1|COX3|cytochrome
OG0000007	ATZ69167.1|ND3|NADH	ATZ68998.1|ND3|NADH
OG0000008	ATZ69168.1|ND4L|NADH	ATZ68999.1|ND4L|NADH
OG0000009	ATZ69159.1|ND4|NADH	ATZ68990.1|ND4|NADH
OG0000010	ATZ69157.1|ND5|NADH	ATZ68988.1|ND5|NADH
OG0000011	ATZ69160.1|CYTB|cytochrome	ATZ68991.1|CYTB|cytochrome
OG0000012	ATZ69166.1|ND6|NADH	ATZ68997.1|ND6|NADH
