Orthogroup	MG590270.1	MG590271.1
OG0000000	ATZ69006.1|ND1|NADH	ATZ69019.1|ND1|NADH
OG0000001	ATZ69005.1|ND2|NADH	ATZ69018.1|ND2|NADH
OG0000002	ATZ69002.1|COX1|cytochrome	ATZ69015.1|COX1|cytochrome
OG0000003	ATZ69008.1|COX2|cytochrome	ATZ69021.1|COX2|cytochrome
OG0000004	ATZ69013.1|ATP8|ATP	ATZ69026.1|ATP8|ATP
OG0000005	ATZ69009.1|ATP6|ATP	ATZ69022.1|ATP6|ATP
OG0000006	ATZ69007.1|COX3|cytochrome	ATZ69020.1|COX3|cytochrome
OG0000007	ATZ69011.1|ND3|NADH	ATZ69024.1|ND3|NADH
OG0000008	ATZ69012.1|ND4L|NADH	ATZ69025.1|ND4L|NADH
OG0000009	ATZ69003.1|ND4|NADH	ATZ69016.1|ND4|NADH
OG0000010	ATZ69001.1|ND5|NADH	ATZ69014.1|ND5|NADH
OG0000011	ATZ69004.1|CYTB|cytochrome	ATZ69017.1|CYTB|cytochrome
OG0000012	ATZ69010.1|ND6|NADH	ATZ69023.1|ND6|NADH
