HOG	OG	Gene Tree Parent Clade	KX902238.1	MG590288.1	NC_027947.1	NC_031864.1	NC_031865.1	NC_031866.1	NC_031869.1	NC_036613.1	NC_042502.1
N7.HOG0000000	OG0000000	n0			YP_009166353.1|ND1|NADH					YP_009449512.1|ND1|NADH	
N7.HOG0000001	OG0000001	n0			YP_009166354.1|ND2|NADH					YP_009449513.1|ND2|NADH	
N7.HOG0000002	OG0000002	n0			YP_009166355.1|COX1|cytochrome					YP_009449514.1|COX1|cytochrome	
N7.HOG0000003	OG0000003	n0			YP_009166356.1|COX2|cytochrome					YP_009449515.1|COX2|cytochrome	
N7.HOG0000004	OG0000004	n0			YP_009166357.1|ATP8|ATP					YP_009449516.1|ATP8|ATP	
N7.HOG0000005	OG0000005	n0			YP_009166358.1|ATP6|ATP					YP_009449517.1|ATP6|ATP	
N7.HOG0000006	OG0000006	n0			YP_009166359.2|COX3|cytochrome					YP_009449518.1|COX3|cytochrome	
N7.HOG0000007	OG0000007	n0			YP_009166360.1|ND3|NADH					YP_009449519.1|ND3|NADH	
N7.HOG0000008	OG0000008	n0			YP_009166361.2|ND4L|NADH					YP_009449520.1|ND4L|NADH	
N7.HOG0000009	OG0000009	n0			YP_009166362.2|ND4|NADH					YP_009449521.1|ND4|NADH	
N7.HOG0000010	OG0000010	n0			YP_009166363.1|ND5|NADH					YP_009449522.1|ND5|NADH	
N7.HOG0000011	OG0000011	n0			YP_009166364.1|CYTB|cytochrome					YP_009449523.1|CYTB|cytochrome	
N7.HOG0000012	OG0000012	n0			YP_009166365.1|ND6|NADH					YP_009449524.1|ND6|NADH	
