Orthogroup	MG590296.1	LN589993.1
OG0000000	ATZ69344.1|ND1|NADH	CEF52441.1|nad1|NADH
OG0000001	ATZ69343.1|ND2|NADH	CEF52442.1|nad2|NADH
OG0000002	ATZ69340.1|COX1|cytochrome	CEF52443.1|cox1|cytochrome
OG0000003	ATZ69346.1|COX2|cytochrome	CEF52444.1|cox2|C-terminal
OG0000004	ATZ69351.1|ATP8|ATP	CEF52445.1|atp8|ATP
OG0000005	ATZ69347.1|ATP6|ATP	CEF52446.1|atp6|ATP
OG0000006	ATZ69345.1|COX3|cytochrome	CEF52447.1|cox3|cytochrome
OG0000007	ATZ69349.1|ND3|NADH	CEF52448.1|nad3|NADH
OG0000008	ATZ69350.1|ND4L|NADH	CEF52449.1|nad4L|NADH
OG0000009	ATZ69341.1|ND4|NADH	CEF52450.1|nad4|NADH
OG0000010	ATZ69339.1|ND5|NADH	CEF52451.1|nad5|NADH
OG0000011	ATZ69342.1|CYTB|cytochrome	CEF52452.1|cob|cytochrome
OG0000012	ATZ69348.1|ND6|NADH	CEF52453.1|nad6|NADH
