Orthogroup	MG590267.1	MG590280.1
OG0000000	ATZ68967.1|ND1|NADH	ATZ69136.1|ND1|NADH
OG0000001	ATZ68966.1|ND2|NADH	ATZ69135.1|ND2|NADH
OG0000002	ATZ68963.1|COX1|cytochrome	ATZ69132.1|COX1|cytochrome
OG0000003	ATZ68969.1|COX2|cytochrome	ATZ69138.1|COX2|cytochrome
OG0000004	ATZ68974.1|ATP8|ATP	ATZ69143.1|ATP8|ATP
OG0000005	ATZ68970.1|ATP6|ATP	ATZ69139.1|ATP6|ATP
OG0000006	ATZ68968.1|COX3|cytochrome	ATZ69137.1|COX3|cytochrome
OG0000007	ATZ68972.1|ND3|NADH	ATZ69141.1|ND3|NADH
OG0000008	ATZ68973.1|ND4L|NADH	ATZ69142.1|ND4L|NADH
OG0000009	ATZ68964.1|ND4|NADH	ATZ69133.1|ND4|NADH
OG0000010	ATZ68962.1|ND5|NADH	ATZ69131.1|ND5|NADH
OG0000011	ATZ68965.1|CYTB|cytochrome	ATZ69134.1|CYTB|cytochrome
OG0000012	ATZ68971.1|ND6|NADH	ATZ69140.1|ND6|NADH
