Orthogroup	MG590273.1	MG590275.1
OG0000000	ATZ69045.1|ND1|NADH	ATZ69071.1|ND1|NADH
OG0000001	ATZ69044.1|ND2|NADH	ATZ69070.1|ND2|NADH
OG0000002	ATZ69041.1|COX1|cytochrome	ATZ69067.1|COX1|cytochrome
OG0000003	ATZ69047.1|COX2|cytochrome	ATZ69073.1|COX2|cytochrome
OG0000004	ATZ69052.1|ATP8|ATP	ATZ69078.1|ATP8|ATP
OG0000005	ATZ69048.1|ATP6|ATP	ATZ69074.1|ATP6|ATP
OG0000006	ATZ69046.1|COX3|cytochrome	ATZ69072.1|COX3|cytochrome
OG0000007	ATZ69050.1|ND3|NADH	ATZ69076.1|ND3|NADH
OG0000008	ATZ69051.1|ND4L|NADH	ATZ69077.1|ND4L|NADH
OG0000009	ATZ69042.1|ND4|NADH	ATZ69068.1|ND4|NADH
OG0000010	ATZ69040.1|ND5|NADH	ATZ69066.1|ND5|NADH
OG0000011	ATZ69043.1|CYTB|cytochrome	ATZ69069.1|CYTB|cytochrome
OG0000012	ATZ69049.1|ND6|NADH	ATZ69075.1|ND6|NADH
