Orthogroup	MG590287.1	NC_031865.1
OG0000000	ATZ69227.1|ND1|NADH	YP_009318402.1|ND1|NADH
OG0000001	ATZ69226.1|ND2|NADH	YP_009318403.1|ND2|NADH
OG0000002	ATZ69223.1|COX1|cytochrome	YP_009318404.1|COX1|cytochrome
OG0000003	ATZ69229.1|COX2|cytochrome	YP_009318405.1|COX2|cytochrome
OG0000004	ATZ69234.1|ATP8|ATP	YP_009318406.1|ATP8|ATP
OG0000005	ATZ69230.1|ATP6|ATP	YP_009318407.1|ATP6|ATP
OG0000006	ATZ69228.1|COX3|cytochrome	YP_009318408.1|COX3|cytochrome
OG0000007	ATZ69232.1|ND3|NADH	YP_009318409.1|ND3|NADH
OG0000008	ATZ69233.1|ND4L|NADH	YP_009318410.1|ND4L|NADH
OG0000009	ATZ69224.1|ND4|NADH	YP_009318411.1|ND4|NADH
OG0000010	ATZ69222.1|ND5|NADH	YP_009318412.1|ND5|NADH
OG0000011	ATZ69225.1|CYTB|cytochrome	YP_009318413.1|CYTB|cytochrome
OG0000012	ATZ69231.1|ND6|NADH	YP_009318414.1|ND6|NADH
