Orthogroup	MG590271.1	MG590289.1
OG0000000	ATZ69019.1|ND1|NADH	ATZ69253.1|ND1|NADH
OG0000001	ATZ69018.1|ND2|NADH	ATZ69252.1|ND2|NADH
OG0000002	ATZ69015.1|COX1|cytochrome	ATZ69249.1|COX1|cytochrome
OG0000003	ATZ69021.1|COX2|cytochrome	ATZ69255.1|COX2|cytochrome
OG0000004	ATZ69026.1|ATP8|ATP	ATZ69260.1|ATP8|ATP
OG0000005	ATZ69022.1|ATP6|ATP	ATZ69256.1|ATP6|ATP
OG0000006	ATZ69020.1|COX3|cytochrome	ATZ69254.1|COX3|cytochrome
OG0000007	ATZ69024.1|ND3|NADH	ATZ69258.1|ND3|NADH
OG0000008	ATZ69025.1|ND4L|NADH	ATZ69259.1|ND4L|NADH
OG0000009	ATZ69016.1|ND4|NADH	ATZ69250.1|ND4|NADH
OG0000010	ATZ69014.1|ND5|NADH	ATZ69248.1|ND5|NADH
OG0000011	ATZ69017.1|CYTB|cytochrome	ATZ69251.1|CYTB|cytochrome
OG0000012	ATZ69023.1|ND6|NADH	ATZ69257.1|ND6|NADH
