Orthogroup	MG590294.1	MG590283.1
OG0000000	ATZ69318.1|ND1|NADH	ATZ69175.1|ND1|NADH
OG0000001	ATZ69317.1|ND2|NADH	ATZ69174.1|ND2|NADH
OG0000002	ATZ69314.1|COX1|cytochrome	ATZ69171.1|COX1|cytochrome
OG0000003	ATZ69320.1|COX2|cytochrome	ATZ69177.1|COX2|cytochrome
OG0000004	ATZ69325.1|ATP8|ATP	ATZ69182.1|ATP8|ATP
OG0000005	ATZ69321.1|ATP6|ATP	ATZ69178.1|ATP6|ATP
OG0000006	ATZ69319.1|COX3|cytochrome	ATZ69176.1|COX3|cytochrome
OG0000007	ATZ69323.1|ND3|NADH	ATZ69180.1|ND3|NADH
OG0000008	ATZ69324.1|ND4L|NADH	ATZ69181.1|ND4L|NADH
OG0000009	ATZ69315.1|ND4|NADH	ATZ69172.1|ND4|NADH
OG0000010	ATZ69313.1|ND5|NADH	ATZ69170.1|ND5|NADH
OG0000011	ATZ69316.1|CYTB|cytochrome	ATZ69173.1|CYTB|cytochrome
OG0000012	ATZ69322.1|ND6|NADH	ATZ69179.1|ND6|NADH
