Orthogroup	MG590288.1	NC_031866.1
OG0000000	ATZ69240.1|ND1|NADH	YP_009318415.1|ND1|NADH
OG0000001	ATZ69239.1|ND2|NADH	YP_009318416.1|ND2|NADH
OG0000002	ATZ69236.1|COX1|cytochrome	YP_009318417.1|COX1|cytochrome
OG0000003	ATZ69242.1|COX2|cytochrome	YP_009318418.1|COX2|cytochrome
OG0000004	ATZ69247.1|ATP8|ATP	YP_009318419.1|ATP8|ATP
OG0000005	ATZ69243.1|ATP6|ATP	YP_009318420.1|ATP6|ATP
OG0000006	ATZ69241.1|COX3|cytochrome	YP_009318421.1|COX3|cytochrome
OG0000007	ATZ69245.1|ND3|NADH	YP_009318422.1|ND3|NADH
OG0000008	ATZ69246.1|ND4L|NADH	YP_009318423.1|ND4L|NADH
OG0000009	ATZ69237.1|ND4|NADH	YP_009318424.1|ND4|NADH
OG0000010	ATZ69235.1|ND5|NADH	YP_009318425.1|ND5|NADH
OG0000011	ATZ69238.1|CYTB|cytochrome	YP_009318426.1|CYTB|cytochrome
OG0000012	ATZ69244.1|ND6|NADH	YP_009318427.1|ND6|NADH
