Orthogroup	NC_031864.1	NC_042502.1
OG0000000	YP_009318389.1|ND1|NADH	YP_009646747.1|ND1|NADH
OG0000001	YP_009318390.1|ND2|NADH	YP_009646748.1|ND2|NADH
OG0000002	YP_009318391.1|COX1|cytochrome	YP_009646749.1|COX1|cytochrome
OG0000003	YP_009318392.1|COX2|cytochrome	YP_009646750.1|COX2|cytochrome
OG0000004	YP_009318393.1|ATP8|ATP	YP_009646751.1|ATP8|ATP
OG0000005	YP_009318394.1|ATP6|ATP	YP_009646752.1|ATP6|ATP
OG0000006	YP_009318395.1|COX3|cytochrome	YP_009646753.1|COX3|cytochrome
OG0000007	YP_009318396.1|ND3|NADH	YP_009646754.1|ND3|NADH
OG0000008	YP_009318397.1|ND4L|NADH	YP_009646755.1|ND4L|NADH
OG0000009	YP_009318398.1|ND4|NADH	YP_009646756.1|ND4|NADH
OG0000010	YP_009318399.1|ND5|NADH	YP_009646757.1|ND5|NADH
OG0000011	YP_009318400.1|CYTB|cytochrome	YP_009646758.1|CYTB|cytochrome
OG0000012	YP_009318401.1|ND6|NADH	YP_009646759.1|ND6|NADH
