Orthogroup	MG590274.1	MG590273.1
OG0000000	ATZ69058.1|ND1|NADH	ATZ69045.1|ND1|NADH
OG0000001	ATZ69057.1|ND2|NADH	ATZ69044.1|ND2|NADH
OG0000002	ATZ69054.1|COX1|cytochrome	ATZ69041.1|COX1|cytochrome
OG0000003	ATZ69060.1|COX2|cytochrome	ATZ69047.1|COX2|cytochrome
OG0000004	ATZ69065.1|ATP8|ATP	ATZ69052.1|ATP8|ATP
OG0000005	ATZ69061.1|ATP6|ATP	ATZ69048.1|ATP6|ATP
OG0000006	ATZ69059.1|COX3|cytochrome	ATZ69046.1|COX3|cytochrome
OG0000007	ATZ69063.1|ND3|NADH	ATZ69050.1|ND3|NADH
OG0000008	ATZ69064.1|ND4L|NADH	ATZ69051.1|ND4L|NADH
OG0000009	ATZ69055.1|ND4|NADH	ATZ69042.1|ND4|NADH
OG0000010	ATZ69053.1|ND5|NADH	ATZ69040.1|ND5|NADH
OG0000011	ATZ69056.1|CYTB|cytochrome	ATZ69043.1|CYTB|cytochrome
OG0000012	ATZ69062.1|ND6|NADH	ATZ69049.1|ND6|NADH
