Orthogroup	MG590274.1	NC_027947.1
OG0000000	ATZ69058.1|ND1|NADH	YP_009166353.1|ND1|NADH
OG0000001	ATZ69057.1|ND2|NADH	YP_009166354.1|ND2|NADH
OG0000002	ATZ69054.1|COX1|cytochrome	YP_009166355.1|COX1|cytochrome
OG0000003	ATZ69060.1|COX2|cytochrome	YP_009166356.1|COX2|cytochrome
OG0000004	ATZ69065.1|ATP8|ATP	YP_009166357.1|ATP8|ATP
OG0000005	ATZ69061.1|ATP6|ATP	YP_009166358.1|ATP6|ATP
OG0000006	ATZ69059.1|COX3|cytochrome	YP_009166359.2|COX3|cytochrome
OG0000007	ATZ69063.1|ND3|NADH	YP_009166360.1|ND3|NADH
OG0000008	ATZ69064.1|ND4L|NADH	YP_009166361.2|ND4L|NADH
OG0000009	ATZ69055.1|ND4|NADH	YP_009166362.2|ND4|NADH
OG0000010	ATZ69053.1|ND5|NADH	YP_009166363.1|ND5|NADH
OG0000011	ATZ69056.1|CYTB|cytochrome	YP_009166364.1|CYTB|cytochrome
OG0000012	ATZ69062.1|ND6|NADH	YP_009166365.1|ND6|NADH
