Orthogroup	NC_027947.1	LN589993.1
OG0000000	YP_009166353.1|ND1|NADH	CEF52441.1|nad1|NADH
OG0000001	YP_009166354.1|ND2|NADH	CEF52442.1|nad2|NADH
OG0000002	YP_009166355.1|COX1|cytochrome	CEF52443.1|cox1|cytochrome
OG0000003	YP_009166356.1|COX2|cytochrome	CEF52444.1|cox2|C-terminal
OG0000004	YP_009166357.1|ATP8|ATP	CEF52445.1|atp8|ATP
OG0000005	YP_009166358.1|ATP6|ATP	CEF52446.1|atp6|ATP
OG0000006	YP_009166359.2|COX3|cytochrome	CEF52447.1|cox3|cytochrome
OG0000007	YP_009166360.1|ND3|NADH	CEF52448.1|nad3|NADH
OG0000008	YP_009166361.2|ND4L|NADH	CEF52449.1|nad4L|NADH
OG0000009	YP_009166362.2|ND4|NADH	CEF52450.1|nad4|NADH
OG0000010	YP_009166363.1|ND5|NADH	CEF52451.1|nad5|NADH
OG0000011	YP_009166364.1|CYTB|cytochrome	CEF52452.1|cob|cytochrome
OG0000012	YP_009166365.1|ND6|NADH	CEF52453.1|nad6|NADH
