Orthogroup	NC_027947.1	MG590278.1
OG0000000	YP_009166353.1|ND1|NADH	ATZ69110.1|ND1|NADH
OG0000001	YP_009166354.1|ND2|NADH	ATZ69109.1|ND2|NADH
OG0000002	YP_009166355.1|COX1|cytochrome	ATZ69106.1|COX1|cytochrome
OG0000003	YP_009166356.1|COX2|cytochrome	ATZ69112.1|COX2|cytochrome
OG0000004	YP_009166357.1|ATP8|ATP	ATZ69117.1|ATP8|ATP
OG0000005	YP_009166358.1|ATP6|ATP	ATZ69113.1|ATP6|ATP
OG0000006	YP_009166359.2|COX3|cytochrome	ATZ69111.1|COX3|cytochrome
OG0000007	YP_009166360.1|ND3|NADH	ATZ69115.1|ND3|NADH
OG0000008	YP_009166361.2|ND4L|NADH	ATZ69116.1|ND4L|NADH
OG0000009	YP_009166362.2|ND4|NADH	ATZ69107.1|ND4|NADH
OG0000010	YP_009166363.1|ND5|NADH	ATZ69105.1|ND5|NADH
OG0000011	YP_009166364.1|CYTB|cytochrome	ATZ69108.1|CYTB|cytochrome
OG0000012	YP_009166365.1|ND6|NADH	ATZ69114.1|ND6|NADH
