Orthogroup	MG590292.1	MG590267.1
OG0000000	ATZ69292.1|ND1|NADH	ATZ68967.1|ND1|NADH
OG0000001	ATZ69291.1|ND2|NADH	ATZ68966.1|ND2|NADH
OG0000002	ATZ69288.1|COX1|cytochrome	ATZ68963.1|COX1|cytochrome
OG0000003	ATZ69294.1|COX2|cytochrome	ATZ68969.1|COX2|cytochrome
OG0000004	ATZ69299.1|ATP8|ATP	ATZ68974.1|ATP8|ATP
OG0000005	ATZ69295.1|ATP6|ATP	ATZ68970.1|ATP6|ATP
OG0000006	ATZ69293.1|COX3|cytochrome	ATZ68968.1|COX3|cytochrome
OG0000007	ATZ69297.1|ND3|NADH	ATZ68972.1|ND3|NADH
OG0000008	ATZ69298.1|ND4L|NADH	ATZ68973.1|ND4L|NADH
OG0000009	ATZ69289.1|ND4|NADH	ATZ68964.1|ND4|NADH
OG0000010	ATZ69287.1|ND5|NADH	ATZ68962.1|ND5|NADH
OG0000011	ATZ69290.1|CYTB|cytochrome	ATZ68965.1|CYTB|cytochrome
OG0000012	ATZ69296.1|ND6|NADH	ATZ68971.1|ND6|NADH
