Orthogroup	MG590279.1	NC_031865.1
OG0000000	ATZ69123.1|ND1|NADH	YP_009318402.1|ND1|NADH
OG0000001	ATZ69122.1|ND2|NADH	YP_009318403.1|ND2|NADH
OG0000002	ATZ69119.1|COX1|cytochrome	YP_009318404.1|COX1|cytochrome
OG0000003	ATZ69125.1|COX2|cytochrome	YP_009318405.1|COX2|cytochrome
OG0000004	ATZ69130.1|ATP8|ATP	YP_009318406.1|ATP8|ATP
OG0000005	ATZ69126.1|ATP6|ATP	YP_009318407.1|ATP6|ATP
OG0000006	ATZ69124.1|COX3|cytochrome	YP_009318408.1|COX3|cytochrome
OG0000007	ATZ69128.1|ND3|NADH	YP_009318409.1|ND3|NADH
OG0000008	ATZ69129.1|ND4L|NADH	YP_009318410.1|ND4L|NADH
OG0000009	ATZ69120.1|ND4|NADH	YP_009318411.1|ND4|NADH
OG0000010	ATZ69118.1|ND5|NADH	YP_009318412.1|ND5|NADH
OG0000011	ATZ69121.1|CYTB|cytochrome	YP_009318413.1|CYTB|cytochrome
OG0000012	ATZ69127.1|ND6|NADH	YP_009318414.1|ND6|NADH
