Orthogroup	MG590278.1	MG590277.1
OG0000000	ATZ69110.1|ND1|NADH	ATZ69097.1|ND1|NADH
OG0000001	ATZ69109.1|ND2|NADH	ATZ69096.1|ND2|NADH
OG0000002	ATZ69106.1|COX1|cytochrome	ATZ69093.1|COX1|cytochrome
OG0000003	ATZ69112.1|COX2|cytochrome	ATZ69099.1|COX2|cytochrome
OG0000004	ATZ69117.1|ATP8|ATP	ATZ69104.1|ATP8|ATP
OG0000005	ATZ69113.1|ATP6|ATP	ATZ69100.1|ATP6|ATP
OG0000006	ATZ69111.1|COX3|cytochrome	ATZ69098.1|COX3|cytochrome
OG0000007	ATZ69115.1|ND3|NADH	ATZ69102.1|ND3|NADH
OG0000008	ATZ69116.1|ND4L|NADH	ATZ69103.1|ND4L|NADH
OG0000009	ATZ69107.1|ND4|NADH	ATZ69094.1|ND4|NADH
OG0000010	ATZ69105.1|ND5|NADH	ATZ69092.1|ND5|NADH
OG0000011	ATZ69108.1|CYTB|cytochrome	ATZ69095.1|CYTB|cytochrome
OG0000012	ATZ69114.1|ND6|NADH	ATZ69101.1|ND6|NADH
