Orthogroup	MG590299.1	MG590268.1
OG0000000	ATZ69383.1|ND1|NADH	ATZ68980.1|ND1|NADH
OG0000001	ATZ69382.1|ND2|NADH	ATZ68979.1|ND2|NADH
OG0000002	ATZ69379.1|COX1|cytochrome	ATZ68976.1|COX1|cytochrome
OG0000003	ATZ69385.1|COX2|cytochrome	ATZ68982.1|COX2|cytochrome
OG0000004	ATZ69390.1|ATP8|ATP	ATZ68987.1|ATP8|ATP
OG0000005	ATZ69386.1|ATP6|ATP	ATZ68983.1|ATP6|ATP
OG0000006	ATZ69384.1|COX3|cytochrome	ATZ68981.1|COX3|cytochrome
OG0000007	ATZ69388.1|ND3|NADH	ATZ68985.1|ND3|NADH
OG0000008	ATZ69389.1|ND4L|NADH	ATZ68986.1|ND4L|NADH
OG0000009	ATZ69380.1|ND4|NADH	ATZ68977.1|ND4|NADH
OG0000010	ATZ69378.1|ND5|NADH	ATZ68975.1|ND5|NADH
OG0000011	ATZ69381.1|CYTB|cytochrome	ATZ68978.1|CYTB|cytochrome
OG0000012	ATZ69387.1|ND6|NADH	ATZ68984.1|ND6|NADH
