Orthogroup	NC_031865.1	MG590285.1
OG0000000	YP_009318402.1|ND1|NADH	ATZ69201.1|ND1|NADH
OG0000001	YP_009318403.1|ND2|NADH	ATZ69200.1|ND2|NADH
OG0000002	YP_009318404.1|COX1|cytochrome	ATZ69197.1|COX1|cytochrome
OG0000003	YP_009318405.1|COX2|cytochrome	ATZ69203.1|COX2|cytochrome
OG0000004	YP_009318406.1|ATP8|ATP	ATZ69208.1|ATP8|ATP
OG0000005	YP_009318407.1|ATP6|ATP	ATZ69204.1|ATP6|ATP
OG0000006	YP_009318408.1|COX3|cytochrome	ATZ69202.1|COX3|cytochrome
OG0000007	YP_009318409.1|ND3|NADH	ATZ69206.1|ND3|NADH
OG0000008	YP_009318410.1|ND4L|NADH	ATZ69207.1|ND4L|NADH
OG0000009	YP_009318411.1|ND4|NADH	ATZ69198.1|ND4|NADH
OG0000010	YP_009318412.1|ND5|NADH	ATZ69196.1|ND5|NADH
OG0000011	YP_009318413.1|CYTB|cytochrome	ATZ69199.1|CYTB|cytochrome
OG0000012	YP_009318414.1|ND6|NADH	ATZ69205.1|ND6|NADH
