Orthogroup	MG590288.1	NC_036613.1
OG0000000	ATZ69240.1|ND1|NADH	YP_009449512.1|ND1|NADH
OG0000001	ATZ69239.1|ND2|NADH	YP_009449513.1|ND2|NADH
OG0000002	ATZ69236.1|COX1|cytochrome	YP_009449514.1|COX1|cytochrome
OG0000003	ATZ69242.1|COX2|cytochrome	YP_009449515.1|COX2|cytochrome
OG0000004	ATZ69247.1|ATP8|ATP	YP_009449516.1|ATP8|ATP
OG0000005	ATZ69243.1|ATP6|ATP	YP_009449517.1|ATP6|ATP
OG0000006	ATZ69241.1|COX3|cytochrome	YP_009449518.1|COX3|cytochrome
OG0000007	ATZ69245.1|ND3|NADH	YP_009449519.1|ND3|NADH
OG0000008	ATZ69246.1|ND4L|NADH	YP_009449520.1|ND4L|NADH
OG0000009	ATZ69237.1|ND4|NADH	YP_009449521.1|ND4|NADH
OG0000010	ATZ69235.1|ND5|NADH	YP_009449522.1|ND5|NADH
OG0000011	ATZ69238.1|CYTB|cytochrome	YP_009449523.1|CYTB|cytochrome
OG0000012	ATZ69244.1|ND6|NADH	YP_009449524.1|ND6|NADH
