Orthogroup	NC_036613.1	LN589993.1
OG0000000	YP_009449512.1|ND1|NADH	CEF52441.1|nad1|NADH
OG0000001	YP_009449513.1|ND2|NADH	CEF52442.1|nad2|NADH
OG0000002	YP_009449514.1|COX1|cytochrome	CEF52443.1|cox1|cytochrome
OG0000003	YP_009449515.1|COX2|cytochrome	CEF52444.1|cox2|C-terminal
OG0000004	YP_009449516.1|ATP8|ATP	CEF52445.1|atp8|ATP
OG0000005	YP_009449517.1|ATP6|ATP	CEF52446.1|atp6|ATP
OG0000006	YP_009449518.1|COX3|cytochrome	CEF52447.1|cox3|cytochrome
OG0000007	YP_009449519.1|ND3|NADH	CEF52448.1|nad3|NADH
OG0000008	YP_009449520.1|ND4L|NADH	CEF52449.1|nad4L|NADH
OG0000009	YP_009449521.1|ND4|NADH	CEF52450.1|nad4|NADH
OG0000010	YP_009449522.1|ND5|NADH	CEF52451.1|nad5|NADH
OG0000011	YP_009449523.1|CYTB|cytochrome	CEF52452.1|cob|cytochrome
OG0000012	YP_009449524.1|ND6|NADH	CEF52453.1|nad6|NADH
