Orthogroup	MG590285.1	MG590296.1
OG0000000	ATZ69201.1|ND1|NADH	ATZ69344.1|ND1|NADH
OG0000001	ATZ69200.1|ND2|NADH	ATZ69343.1|ND2|NADH
OG0000002	ATZ69197.1|COX1|cytochrome	ATZ69340.1|COX1|cytochrome
OG0000003	ATZ69203.1|COX2|cytochrome	ATZ69346.1|COX2|cytochrome
OG0000004	ATZ69208.1|ATP8|ATP	ATZ69351.1|ATP8|ATP
OG0000005	ATZ69204.1|ATP6|ATP	ATZ69347.1|ATP6|ATP
OG0000006	ATZ69202.1|COX3|cytochrome	ATZ69345.1|COX3|cytochrome
OG0000007	ATZ69206.1|ND3|NADH	ATZ69349.1|ND3|NADH
OG0000008	ATZ69207.1|ND4L|NADH	ATZ69350.1|ND4L|NADH
OG0000009	ATZ69198.1|ND4|NADH	ATZ69341.1|ND4|NADH
OG0000010	ATZ69196.1|ND5|NADH	ATZ69339.1|ND5|NADH
OG0000011	ATZ69199.1|CYTB|cytochrome	ATZ69342.1|CYTB|cytochrome
OG0000012	ATZ69205.1|ND6|NADH	ATZ69348.1|ND6|NADH
